"name_in_db","is_param","name_in_parfile","category"
"location",FALSE,,
"name",FALSE,,
"beta",TRUE,"BETA","CROP PARAMETERS"
"cancap",TRUE,"CANCAP","CROP PARAMETERS"
"cform",TRUE,"CFORM","CROP PARAMETERS"
"dform",TRUE,"DFORM","CROP PARAMETERS"
"idstart",TRUE,"IDSTART","CROP PARAMETERS"
"idmax",TRUE,"IDMAX","CROP PARAMETERS"
"iharv",TRUE,"IHARV","CROP PARAMETERS"
"laimax",TRUE,"LAIMAX","CROP PARAMETERS"
"laihar",TRUE,"LAIHAR","CROP PARAMETERS"
"rootmax",TRUE,"ROOTMAX","CROP PARAMETERS"
"rpin",TRUE,"RPIN","CROP PARAMETERS"
"zalp",TRUE,"ZALP","CROP PARAMETERS"
"fawc",TRUE,"FAWC","CROP PARAMETERS"
"soiltype",FALSE,,
"hmax",TRUE,"HMAX","CROP PARAMETERS"
"atten",TRUE,"ATTEN","CROP PARAMETERS"
"rsmin",TRUE,"RSMIN","CROP PARAMETERS"
"laimin",TRUE,"LAIMIN","CROP PARAMETERS"
"zhmin",TRUE,"ZHMIN","CROP PARAMETERS"
"rootinit",TRUE,"ROOTINIT","CROP PARAMETERS"
"zdatemin",TRUE,"ZDATEMIN","CROP PARAMETERS"
"l_pnr",FALSE,,
"laic",TRUE,"LAIC","CROP PARAMETERS"
"rootdep",TRUE,"ROOTDEP","CROP PARAMETERS"
"hcrop",TRUE,"HCROP","CROP PARAMETERS"
"rsurf",TRUE,"RSURF","CROP PARAMETERS"
"ncrop",TRUE,"NCROP","CROP PARAMETERS"
"idstart2",TRUE,"IDSTART2","CROP PARAMETERS"
"zdatemin2",TRUE,"ZDATEMIN2","CROP PARAMETERS"
"idmax2",TRUE,"IDMAX2","CROP PARAMETERS"
"iharv2",TRUE,"IHARV2","CROP PARAMETERS"
"rname",FALSE,,
"switch",TRUE,"CROP","OPTIONS"
"maxint",FALSE,,
"waten",TRUE,"WATEN","CROP PARAMETERS"
